15,7,-1,0.8333333,6378.5347
14,8,1,0,7364.8722
13,9,-1,0.8333333,7624.2954
12,10,1,1.3333334,8080.4656
11,11,-1,1.5,7915.6624
10,12,1,1.3333334,7662.7645
9,13,-1,0.8333333,6782
8,14,1,0,6044
17,6,0,1.2,5077
16,7,0,0.8,6236.6721
15,8,0,0,7163.4856
14,9,0,0.85714287,7622.3447
13,10,0,1.4285715,7955.2561
12,11,0,1.7142857,8111.4936
11,12,0,1.7142857,7901.1229
10,13,0,1.4285715,7335.7275
9,14,0,0.85714287,6554
17,7,-1,0.75,5887
16,8,1,0,7039.6855
15,9,-1,0.8333333,7463.5831
14,10,1,1.5,7993.3252
13,11,-1,1.875,8063.4882
12,12,1,2,8260.7103
11,13,-1,1.875,7649.5806
10,14,1,1.5,7167.2329
9,15,-1,0.8333333,6165
18,7,0,0.6666667,5613
17,8,0,0,6727.8058
16,9,0,0.8,7336.3065
15,10,0,1.4285715,7839.7994
14,11,0,2,8101.3979
13,12,0,2.2222223,8223.5028
12,13,0,2.2222223,8021.1366
11,14,0,2,7480.1109
10,15,0,1.4285715,6794
18,8,1,0,6497.479
17,9,-1,0.75,7082.2497
16,10,1,1.3333334,7751.911
15,11,-1,1.875,8004.2013
14,12,1,2.4,8333.8711
13,13,-1,2.5,8149.7653
12,14,1,2.4,7924.7083
11,15,-1,1.875,7198
10,16,1,1.3333334,6525
19,8,0,0,6185
18,9,0,0.6666667,6879.6662
17,10,0,1.2,7520.4151
16,11,0,1.7142857,7956.9467
15,12,0,2.2222223,8263.8525
14,13,0,2.7272727,8331.5533
13,14,0,2.7272727,8124.342
12,15,0,2.2222223,7661.0894
11,16,0,1.7142857,6960
20,8,1,0,5988
19,9,-1,0.5,6626.8567
18,10,1,1,7388.3463
17,11,-1,1.5,7799.2644
16,12,1,2,8272.4531
15,13,-1,2.5,8309.8969
14,14,1,3,8447.7445
13,15,-1,2.5,7907.4842
12,16,1,2,7478.7911
11,17,-1,1.5,6587
20,9,0,0,6444.0314
19,10,0,0.6666667,7167.0673
18,11,0,1.2,7682.1522
17,12,0,1.7142857,8113.5317
16,13,0,2.2222223,8348.4647
15,14,0,2.7272727,8448.6361
14,15,0,2.7272727,8251.2368
13,16,0,2.2222223,7746.3826
12,17,0,1.7142857,7129
11,18,0,1.2,6276
21,9,-1,0.5,6205
20,10,1,0,7034.5317
19,11,-1,0.75,7501.9685
18,12,1,1.3333334,8054.425
17,13,-1,1.875,8261.1049
16,14,1,2.4,8520.6549
15,15,-1,2.5,8353.5064
14,16,1,2.4,8122.7081
13,17,-1,1.875,7472.1698
12,18,1,1.3333334,6866
22,9,0,0.6666667,6011
21,10,0,0.6666667,6813.0902
20,11,0,0,7398.6778
19,12,0,0.8,7869.1886
18,13,0,1.4285715,8225.518
17,14,0,2,8458.2916
16,15,0,2.2222223,8481.1677
15,16,0,2.2222223,8281.8013
14,17,0,2,7869.2101
13,18,0,1.4285715,7252
12,19,0,0.8,6487
22,10,1,1,6671
21,11,-1,0.75,7219.8815
20,12,1,0,7803.8411
19,13,-1,0.8333333,8100.3449
18,14,1,1.5,8481.469
17,15,-1,1.875,8464.1203
16,16,1,2,8493.1301
15,17,-1,1.875,8072.4058
14,18,1,1.5,7700.0089
13,19,-1,0.8333333,6920
23,10,0,1.2,6436
22,11,0,1.2,7089.9262
21,12,0,0.8,7636.4382
20,13,0,0,8020.6172
19,14,0,0.85714287,8361.0596
18,15,0,1.4285715,8513.8073
17,16,0,1.7142857,8497.6304
16,17,0,1.7142857,8304.7557
15,18,0,1.4285715,7928.9559
14,19,0,0.85714287,7392
13,20,0,0,6657
24,10,1,1.3333334,6287
23,11,-1,1.5,6886.4377
22,12,1,1.3333334,7550.3919
21,13,-1,0.8333333,7860.3506
20,14,1,0,8337.1659
19,15,-1,0.8333333,8448.1856
18,16,1,1.3333334,8583.4986
17,17,-1,1.5,8398.9706
16,18,1,1.3333334,8197.6724
15,19,-1,0.8333333,7670
14,20,1,0,7173
24,11,0,1.7142857,6745
23,12,0,1.7142857,7356.2338
22,13,0,1.4285715,7787.1243
21,14,0,0.85714287,8169.5644
20,15,0,0,8446.2496
19,16,0,0.8,8537.8511
18,17,0,1.2,8520.279
17,18,0,1.2,8327.4621
16,19,0,0.8,7965.8409
15,20,0,0,7476
14,21,0,0.85714287,6828
25,11,-1,1.5,6557
24,12,1,2,7244.4202
23,13,-1,1.875,7623.5154
22,14,1,1.5,8112.5199
21,15,-1,0.8333333,8307.8692
20,16,1,0,8575.39
19,17,-1,0.75,8521.9322
18,18,1,1,8519.9096
17,19,-1,0.75,8142.2233
16,20,1,0,7815.8799
15,21,-1,0.8333333,7166
26,11,0,1.2,6403
25,12,0,1.7142857,7055.1115
24,13,0,2.2222223,7531.316
23,14,0,2,7952.9033
22,15,0,1.4285715,8267.5561
21,16,0,0.8,8459.9363
20,17,0,0,8570.2816
19,18,0,0.6666667,8527.1406
18,19,0,0.6666667,8339.848
17,20,0,0,8003.4567
16,21,0,0.8,7525
15,22,0,1.4285715,6926
27,11,-1,0.75,6216
26,12,1,1.3333334,6928
25,13,-1,1.875,7370
24,14,1,2.4,7892.8297
23,15,-1,1.875,8147.2749
22,16,1,1.3333334,8448.7829
