20,19,8557.0258
19,20,8369.6711
18,21,8013.4575
17,22,7566
16,23,7031
28,12,6598
27,13,7097
26,14,7655.8247
25,15,7981.4177
24,16,8329.3255
23,17,8427.766
22,18,8595.2594
21,19,8538.0907
20,20,8551.3046
19,21,8173.6697
18,22,7865.8632
17,23,7310
29,12,6425
28,13,6980
27,14,7482
26,15,7906.5513
25,16,8229.6358
24,17,8412.9593
23,18,8534.3733
22,19,8576.0731
21,20,8546.7075
20,21,8369.1979
19,22,8034.3889
18,23,7625
17,24,7116
29,13,6829
28,14,7410
27,15,7765.9122
26,16,8193.2275
25,17,8345.8864
24,18,8555.6141
23,19,8551.2571
22,20,8616.5646
21,21,8444.9303
20,22,8259.24
19,23,7824
18,24,7456
30,13,6712
29,14,7251
28,15,7681
27,16,8063.8276
26,17,8323.8672
25,18,8488.2382
24,19,8576.2204
23,20,8600.6653
22,21,8530.8265
21,22,8352.8054
20,23,8069.5129
19,24,7680
18,25,7213
30,14,7156
29,15,7552
28,16,7996.0154
27,17,8234.4788
26,18,8493.8411
25,19,8546.7023
24,20,8658.1769
23,21,8557.3805
22,22,8533.5215
21,23,8203.4567
20,24,7949.6265
19,25,7457
31,14,7004
30,15,7456
29,16,7867
28,17,8181.5991
27,18,8419.9526
26,19,8554.6747
25,20,8630.5467
24,21,8618.941
23,22,8555.7321
22,23,8380.0394
21,24,8087.7286
20,25,7747
19,26,7299
31,15,7320
30,16,7785
29,17,8080.7757
28,18,8412.3835
27,19,8518.0428
26,20,8668.9848
25,21,8622.0215
24,22,8656.4623
23,23,8486.1423
22,24,8303.8233
21,25,7916.0805
20,26,7603
32,15,7209
31,16,7652
30,17,7992
29,18,8311.425
28,19,8514.8795
27,20,8639.3548
26,21,8665.0958
25,22,8661.2325
24,23,8582.2348
23,24,8407.2067
22,25,8135.3117
21,26,7790
20,27,7396
32,16,7552
31,17,7883
30,18,8243.6656
29,19,8434.2324
28,20,8666.6916
27,21,8656.2097
26,22,8723.0122
25,23,8623.0686
24,24,8572.2553
23,25,8274.1924
22,26,8022.7254
21,27,7595
20,28,7236
33,16,7400
32,17,7785
31,18,8132
30,19,8372.2753
29,20,8594.85
28,21,8686.2805
27,22,8711.1625
26,23,8682.9135
25,24,8613.2777
24,25,8439.915
23,26,8161.3121
22,27,7840
21,28,7450
33,17,7651
32,18,8054
31,19,8288.5833
30,20,8550.1639
29,21,8633.4747
28,22,8755.7227
27,23,8695.9032
26,24,8701.0188
25,25,8532.6823
24,26,8354.0268
23,27,8000.6387
22,28,7702
34,17,7530
33,18,7922
32,19,8221.335
31,20,8476.9135
30,21,8597.2213
29,22,8708.9912
28,23,8742.0852
27,24,8711.9923
26,25,8633.7602
25,26,8460.4977
24,27,8193.2549
23,28,7870
35,17,7386
34,18,7827
33,19,8115.0303
32,20,8429.3821
31,21,8534.6695
30,22,8691.8193
29,23,8714.569
28,24,8775.9946
27,25,8670.4087
26,26,8609.6079
25,27,8325.5606
24,28,8083.8977
23,29,7671
35,18,7677
34,19,8022.8488
